epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,877.633,0.28005,0.33121,0.86,0.93689,0.98955,0.99491,0.9848,0.2242,0.18556,0.82073,9.92147e-05,9.92147e-05,9.92147e-05
43,898.713,0.28508,0.32707,0.87847,0.95105,0.98823,0.99418,0.97915,0.22936,0.1888,0.81843,9.75614e-05,9.75614e-05,9.75614e-05
44,919.462,0.29803,0.36595,0.87485,0.95056,0.99081,0.99425,0.98013,0.21401,0.19054,0.81455,9.59081e-05,9.59081e-05,9.59081e-05
45,940.181,0.29396,0.32351,0.86566,0.95484,0.99652,0.99417,0.97979,0.23529,0.19197,0.82058,9.42548e-05,9.42548e-05,9.42548e-05
46,960.922,0.27525,0.32268,0.86294,0.96567,0.98603,0.99197,0.97675,0.23758,0.18964,0.82418,9.26015e-05,9.26015e-05,9.26015e-05
47,981.645,0.28267,0.33107,0.86765,0.95498,0.99976,0.99411,0.97746,0.23006,0.17898,0.82007,9.09482e-05,9.09482e-05,9.09482e-05
48,1002.3,0.27837,0.30739,0.86548,0.95776,0.99589,0.9922,0.98069,0.21399,0.1839,0.81212,8.92949e-05,8.92949e-05,8.92949e-05
49,1022.97,0.28327,0.3325,0.87307,0.95726,0.99629,0.99291,0.98221,0.22278,0.18138,0.81353,8.76416e-05,8.76416e-05,8.76416e-05
50,1045.52,0.27267,0.32695,0.85775,0.95894,0.99276,0.9929,0.98335,0.2097,0.18361,0.80755,8.59883e-05,8.59883e-05,8.59883e-05
51,1066.42,0.26848,0.29792,0.86146,0.95615,0.99367,0.99379,0.98294,0.22164,0.18947,0.81386,8.4335e-05,8.4335e-05,8.4335e-05
52,1087.27,0.26313,0.29863,0.8537,0.95074,0.99089,0.99074,0.98081,0.20969,0.18168,0.81037,8.26817e-05,8.26817e-05,8.26817e-05
53,1108.2,0.2552,0.30553,0.85016,0.9433,0.98657,0.99104,0.98092,0.19929,0.17611,0.80534,8.10284e-05,8.10284e-05,8.10284e-05
54,1132.33,0.26058,0.30833,0.8597,0.9585,0.9768,0.99106,0.986,0.20196,0.18551,0.80334,7.93751e-05,7.93751e-05,7.93751e-05
55,1153.49,0.27516,0.30115,0.8554,0.95256,0.96624,0.9935,0.98531,0.20697,0.17816,0.80314,7.77218e-05,7.77218e-05,7.77218e-05
56,1174.34,0.27527,0.3031,0.85595,0.96639,0.9719,0.99488,0.98575,0.21271,0.17576,0.80779,7.60685e-05,7.60685e-05,7.60685e-05
57,1195.09,0.25507,0.29948,0.85678,0.94428,0.97358,0.99488,0.98203,0.21528,0.17593,0.81646,7.44152e-05,7.44152e-05,7.44152e-05
58,1215.83,0.26417,0.29523,0.86547,0.9615,0.99199,0.99482,0.98522,0.21134,0.17574,0.81515,7.27619e-05,7.27619e-05,7.27619e-05
59,1236.59,0.2735,0.30163,0.85535,0.96262,0.9876,0.9948,0.98211,0.22745,0.17413,0.81986,7.11086e-05,7.11086e-05,7.11086e-05
60,1257.36,0.25436,0.28603,0.85984,0.97055,0.97449,0.99381,0.98626,0.1982,0.17354,0.80911,6.94553e-05,6.94553e-05,6.94553e-05
61,1278.4,0.25148,0.27598,0.84992,0.95708,0.99349,0.99312,0.98553,0.19982,0.16061,0.80917,6.7802e-05,6.7802e-05,6.7802e-05
62,1299.09,0.26507,0.27318,0.86421,0.94052,0.9978,0.99315,0.98881,0.20268,0.17383,0.80948,6.61487e-05,6.61487e-05,6.61487e-05
63,1320,0.24321,0.266,0.8478,0.94949,0.99773,0.99469,0.9889,0.19174,0.16357,0.80105,6.44954e-05,6.44954e-05,6.44954e-05
64,1341.07,0.2547,0.26476,0.85171,0.96778,0.99697,0.99475,0.98454,0.20751,0.15758,0.80278,6.28421e-05,6.28421e-05,6.28421e-05
65,1361.81,0.25475,0.26565,0.86131,0.96262,0.9976,0.9948,0.98481,0.20242,0.15832,0.80322,6.11888e-05,6.11888e-05,6.11888e-05
66,1382.58,0.2424,0.2446,0.85217,0.95848,0.99695,0.9948,0.98665,0.20949,0.15981,0.80397,5.95355e-05,5.95355e-05,5.95355e-05
67,1403.35,0.23816,0.2535,0.85205,0.95017,0.99414,0.99488,0.98737,0.18807,0.1589,0.80162,5.78822e-05,5.78822e-05,5.78822e-05
68,1424.03,0.2443,0.24667,0.85322,0.95273,0.98842,0.99448,0.9873,0.19147,0.15835,0.80348,5.62289e-05,5.62289e-05,5.62289e-05
69,1444.78,0.24311,0.24681,0.85603,0.9621,0.98844,0.99497,0.98852,0.18809,0.15616,0.80134,5.45756e-05,5.45756e-05,5.45756e-05
70,1465.57,0.23955,0.25038,0.84326,0.9732,0.98356,0.99491,0.989,0.18677,0.1517,0.80061,5.29223e-05,5.29223e-05,5.29223e-05
71,1486.46,0.24403,0.25242,0.85483,0.97396,0.99457,0.99493,0.99027,0.19879,0.15073,0.80114,5.1269e-05,5.1269e-05,5.1269e-05
72,1507.37,0.24195,0.25295,0.84575,0.9738,0.98674,0.99486,0.99011,0.19098,0.14442,0.79806,4.96157e-05,4.96157e-05,4.96157e-05
73,1528.11,0.22728,0.23729,0.83879,0.97291,0.98954,0.9948,0.99094,0.1776,0.14067,0.79889,4.79624e-05,4.79624e-05,4.79624e-05
74,1548.98,0.24192,0.23606,0.85076,0.9748,0.99029,0.99477,0.98892,0.17519,0.13777,0.79588,4.63091e-05,4.63091e-05,4.63091e-05
75,1569.66,0.24209,0.24509,0.85668,0.97808,0.99038,0.99425,0.99036,0.17856,0.14197,0.79401,4.46558e-05,4.46558e-05,4.46558e-05
76,1590.47,0.2327,0.23517,0.83545,0.97875,0.99078,0.9936,0.98753,0.18795,0.14675,0.79774,4.30025e-05,4.30025e-05,4.30025e-05
77,1611.1,0.23276,0.25513,0.83779,0.97745,0.98367,0.99484,0.9903,0.17507,0.14353,0.79331,4.13492e-05,4.13492e-05,4.13492e-05
78,1631.81,0.23238,0.23658,0.84467,0.94679,0.98865,0.99471,0.98894,0.1833,0.14872,0.8021,3.96959e-05,3.96959e-05,3.96959e-05
79,1652.56,0.24121,0.24983,0.8493,0.95035,0.99041,0.99486,0.99095,0.17078,0.14105,0.79973,3.80426e-05,3.80426e-05,3.80426e-05
80,1673.48,0.23345,0.23082,0.84315,0.97049,0.99009,0.99494,0.9907,0.17561,0.14396,0.8004,3.63893e-05,3.63893e-05,3.63893e-05
81,1694.21,0.23385,0.23218,0.85546,0.97842,0.99133,0.99488,0.99039,0.17487,0.14024,0.798,3.4736e-05,3.4736e-05,3.4736e-05
82,1715.06,0.21674,0.2196,0.832,0.97973,0.9936,0.99484,0.99012,0.18488,0.13478,0.80177,3.30827e-05,3.30827e-05,3.30827e-05
83,1735.74,0.23482,0.23517,0.8363,0.97816,0.99868,0.99466,0.98986,0.17958,0.13234,0.80256,3.14294e-05,3.14294e-05,3.14294e-05
84,1756.47,0.22179,0.22815,0.83014,0.9848,0.99943,0.99474,0.98997,0.17785,0.13047,0.80057,2.97761e-05,2.97761e-05,2.97761e-05
85,1777.24,0.23204,0.23343,0.8523,0.98469,0.99983,0.99473,0.98948,0.16953,0.13066,0.79611,2.81228e-05,2.81228e-05,2.81228e-05
86,1797.99,0.21695,0.2227,0.84522,0.98371,0.99483,0.99468,0.98876,0.17182,0.12704,0.79565,2.64695e-05,2.64695e-05,2.64695e-05
87,1818.77,0.21229,0.21224,0.8322,0.982,0.98919,0.99473,0.98938,0.17392,0.12647,0.79692,2.48162e-05,2.48162e-05,2.48162e-05
88,1839.61,0.20555,0.20067,0.83508,0.98036,0.98929,0.99473,0.99053,0.17064,0.12781,0.79783,2.31629e-05,2.31629e-05,2.31629e-05
89,1860.26,0.20674,0.20459,0.83911,0.98258,0.9897,0.99479,0.98929,0.17211,0.12634,0.79826,2.15096e-05,2.15096e-05,2.15096e-05
90,1884.23,0.2063,0.20359,0.83534,0.98353,0.99225,0.99469,0.9879,0.16854,0.12238,0.79724,1.98563e-05,1.98563e-05,1.98563e-05
91,1907.19,0.17068,0.17861,0.79696,0.98077,0.98931,0.99471,0.98958,0.16561,0.12759,0.79536,1.8203e-05,1.8203e-05,1.8203e-05
92,1927.82,0.17363,0.19753,0.79709,0.9784,0.98968,0.99488,0.99079,0.1663,0.12856,0.79439,1.65497e-05,1.65497e-05,1.65497e-05
93,1948.4,0.16388,0.17201,0.79368,0.98045,0.99171,0.99486,0.99107,0.16694,0.12918,0.7947,1.48964e-05,1.48964e-05,1.48964e-05
94,1969.29,0.15997,0.16875,0.79561,0.98027,0.99654,0.99473,0.99006,0.16922,0.12634,0.79521,1.32431e-05,1.32431e-05,1.32431e-05
95,1989.76,0.16372,0.16391,0.79758,0.98033,0.99367,0.99471,0.98996,0.1693,0.12641,0.79508,1.15898e-05,1.15898e-05,1.15898e-05
96,2010.35,0.16467,0.16904,0.80347,0.97766,0.99182,0.9947,0.99085,0.16915,0.12544,0.7951,9.9365e-06,9.9365e-06,9.9365e-06
97,2032.96,0.16096,0.16778,0.80284,0.97196,0.99143,0.99468,0.99063,0.1686,0.12516,0.79456,8.2832e-06,8.2832e-06,8.2832e-06
98,2053.57,0.16137,0.16936,0.78869,0.97019,0.99121,0.99469,0.99004,0.16702,0.12518,0.79402,6.6299e-06,6.6299e-06,6.6299e-06
99,2074.31,0.16191,0.16669,0.80321,0.97024,0.99127,0.99466,0.98999,0.16705,0.12354,0.79395,4.9766e-06,4.9766e-06,4.9766e-06
100,2095.01,0.15853,0.16557,0.79147,0.97153,0.99123,0.99468,0.99066,0.16821,0.12345,0.79429,3.3233e-06,3.3233e-06,3.3233e-06
